pool_index,token_id,literal,raw_vocab,category,component_ids,pool_source
1034,17725, Understanding,▁Understanding,OK,"(17725,)",random
1035,11671, Rit,▁Rit,OK,"(11671,)",random
1036,10795, feeding,▁feeding,OK,"(10795,)",random
1037,2289, loan,▁loan,OK,"(2289,)",random
1038,17755, counselor,▁counselor,OK,"(17755,)",random
1039,22953,pouvant,pouvant,OK,"(22953,)",random
1040,9711, stellt,▁stellt,OK,"(9711,)",random
1041,30577, lunette,▁lunette,OK,"(30577,)",random
1042,20694,cini,cini,OK,"(20694,)",random
1043,10295, Buck,▁Buck,OK,"(10295,)",random
1044,23390, Interesting,▁Interesting,OK,"(23390,)",random
1045,2416, links,▁links,OK,"(2416,)",random
1046,1049, stay,▁stay,OK,"(1049,)",random
1047,21825, Patch,▁Patch,OK,"(21825,)",random
1048,20531,fahrer,fahrer,OK,"(20531,)",random
1049,72, more,▁more,OK,"(72,)",random
1050,25332,Seeing,Seeing,OK,"(25332,)",random
1051,1830, ces,▁ces,OK,"(1830,)",random
1052,8940, Vietnam,▁Vietnam,OK,"(8940,)",random
1053,17794,tipul,tipul,OK,"(17794,)",random
1054,21889,strategie,strategie,OK,"(21889,)",random
1055,23314, capul,▁capul,OK,"(23314,)",random
1056,19330, Bang,▁Bang,OK,"(19330,)",random
1057,14725, sail,▁sail,OK,"(14725,)",random
1058,28501,trays,trays,OK,"(28501,)",random
1059,29717, martyr,▁martyr,OK,"(29717,)",random
1060,25060, paix,▁paix,OK,"(25060,)",random
1061,15509, minunat,▁minunat,OK,"(15509,)",random
1062,25707, rencontré,▁rencontré,OK,"(25707,)",random
1063,10421,izate,izate,OK,"(10421,)",random
1064,28371,CLICK,CLICK,OK,"(28371,)",random
1065,20322,intr,intr,OK,"(20322,)",random
1066,30842,Asociația,Asociația,OK,"(30842,)",random
1067,14450, Kill,▁Kill,OK,"(14450,)",random
1068,14662,spring,spring,OK,"(14662,)",random
1069,5575, fo,▁fo,OK,"(5575,)",random
1070,8529, Along,▁Along,OK,"(8529,)",random
1071,28025,umfang,umfang,OK,"(28025,)",random
1072,17141, Neg,▁Neg,OK,"(17141,)",random
1073,17567, indiqu,▁indiqu,OK,"(17567,)",random
1074,26151, juicy,▁juicy,OK,"(26151,)",random
1075,1400, fit,▁fit,OK,"(1400,)",random
1076,13734, worthy,▁worthy,OK,"(13734,)",random
1077,23984,honneur,honneur,OK,"(23984,)",random
1078,28686,rissa,rissa,OK,"(28686,)",random
1079,24426, Printer,▁Printer,OK,"(24426,)",random
1080,14644, expose,▁expose,OK,"(14644,)",random
1081,7502, processor,▁processor,OK,"(7502,)",random
1082,28971, begonnen,▁begonnen,OK,"(28971,)",random
1083,31601,bundled,bundled,OK,"(31601,)",random
1084,15950, impart,▁impart,OK,"(15950,)",random
1085,12335,LES,LES,OK,"(12335,)",random
1086,8085, exists,▁exists,OK,"(8085,)",random
1087,8530, MD,▁MD,OK,"(8530,)",random
1088,18445, inspirational,▁inspirational,OK,"(18445,)",random
1089,22264, Diver,▁Diver,OK,"(22264,)",random
1090,26704,voluntarily,voluntarily,OK,"(26704,)",random
1091,12130, offensive,▁offensive,OK,"(12130,)",random
1092,2615, lose,▁lose,OK,"(2615,)",random
1093,22685, scooter,▁scooter,OK,"(22685,)",random
1094,15750,rendu,rendu,OK,"(15750,)",random
1095,29931, créateur,▁créateur,OK,"(29931,)",random
1096,26470, noștri,▁noștri,OK,"(26470,)",random
1097,20379, convers,▁convers,OK,"(20379,)",random
1098,27528, Aussicht,▁Aussicht,OK,"(27528,)",random
1099,6791, cruise,▁cruise,OK,"(6791,)",random
1100,23401,chette,chette,OK,"(23401,)",random
1101,23389, Räume,▁Räume,OK,"(23389,)",random
1102,30478, gigantic,▁gigantic,OK,"(30478,)",random
1103,4343,pel,pel,OK,"(4343,)",random
1104,27164, ajut,▁ajut,OK,"(27164,)",random
1105,29294,urmatoarele,urmatoarele,OK,"(29294,)",random
