position,subprotocol,length,nearest_token_ids,displacement_q05,displacement_median,displacement_q95,separation_margin,mean_separation,linear_auc,balanced_accuracy,fpr_at_95_tpr,compact_radius_q95,pairwise_mean,pairwise_q05,sample_blank_margin,cluster_blank_margin,density_blank_margin,source_escape_q05,center_norm_pre_normalization,shift_certified,separator_certified,compact_certified,sample_blank_certified,cluster_blank_certified,density_blank_certified,blank_region_certified
prefix,blank,1,252,0.246829961288931,0.3309542627925038,0.4339779099493934,0.178995286581572,0.3026687872703013,1.0,1.0,0.0,0.5474907831660547,0.7723481352515281,0.7182214338794769,0.0255403669534919,-0.7684671423649512,-0.641367396087329,-0.1092465788627705,0.8793093274110001,True,True,False,True,False,False,False
prefix,blank,2,"29571,17463",0.3231157027785559,0.4252812961116803,0.5180205583349381,0.2451379564737782,0.3665620570921747,1.0,1.0,0.0,0.491549680174451,0.8197781687181196,0.7724922713034744,0.1011724475748327,-0.6559018586559233,-0.5638361306931614,-0.0965012109915956,0.9056596378620794,True,True,False,True,False,False,False
prefix,blank,4,"21652,258,14970,8325",0.3434426081829386,0.4444547764807823,0.5475189295046653,0.2347351070679111,0.3780467535947996,1.0,1.0,0.0,0.5027945794557922,0.8230502482159747,0.7717630294342683,0.0851995990082484,-0.6656330313134127,-0.5743675996526312,-0.0819896374892978,0.907628203201818,True,True,False,True,False,False,False
prefix,blank,8,"8443,28257,5157,15300,1594,31513,3678,25562",0.5165571167129311,0.621391773087079,0.6955425936208187,0.3976346088188886,0.5170918021981223,1.0,1.0,0.0,0.3625973746030616,0.9156003191291,0.8847076167532018,0.2816775233209477,-0.3883666782166376,-0.3528283641786508,-0.0268552346017785,0.9570487111517034,True,True,True,True,False,False,False
prefix,blank,16,"30216,1839,31958,27541,14141,29806,24253,30252,23349,25790,22186,2163,19512,31982,10580,13782",0.6230079774877129,0.7022341169030046,0.7608569289415129,0.4532160746027371,0.541454638113752,1.0,1.0,0.0,0.2338713599469927,0.967978402254489,0.9499240902043704,0.4369782223357756,-0.2641262936632689,-0.2170658959113683,-0.0353383207102382,0.9839502433457024,True,True,True,True,False,False,False
prefix,separator,1,29078,0.1872548895582792,0.2960044806534047,0.4425104182341757,0.100706628190519,0.2627742112327601,0.9999542236328124,0.998046875,0.0,0.5803833178360355,0.7477626033280003,0.6867676464028902,-0.0341663643862829,-0.8387561301942273,-0.6992198172693475,-0.1219213661782675,0.8654838795310615,True,True,False,False,False,False,False
prefix,separator,2,"10961,3287",0.2283236250822208,0.3352992363953049,0.4570532408497839,0.159913887649741,0.2986789782893419,1.0,0.998046875,0.0,0.5642690418342527,0.763920956135322,0.7094815474740389,0.0048387363270503,-0.791764470754629,-0.6765230570141678,-0.1070239242767782,0.8744297982581366,True,True,False,True,False,False,False
prefix,separator,4,"30146,24970,12148,31245",0.4066889176938107,0.5129719958259444,0.6023152385664006,0.2972525694849832,0.4263860829209086,1.0,1.0,0.0,0.440401061348266,0.8716419205096961,0.8259871772908367,0.1488561298537617,-0.5709466931414089,-0.5056794152203432,-0.0843588198686633,0.9338022661657618,True,True,False,True,False,False,False
prefix,separator,8,"8346,23160,18448,22494,21241,23244,15164,712",0.4745676170799047,0.5683286738128227,0.6633192778252828,0.3395769255134519,0.4725150229573301,1.0,1.0,0.0,0.3967690396781302,0.8963740755078652,0.8572981069528525,0.2378115337554114,-0.4772271998414396,-0.4292744915025069,-0.0563787678462109,0.9468655169919044,True,True,True,True,False,False,False
prefix,separator,16,"25918,8079,2871,27824,22952,13445,277,16873,31625,19285,5166,5974,21997,843,2169,4023",0.5654146580495167,0.6673931595897746,0.7268837496455087,0.4109569022332465,0.5188129022158995,1.0,1.0,0.0,0.2817929529904157,0.9530074582096664,0.928105387446293,0.3623367213605029,-0.3328215339283226,-0.295116753942978,-0.0502746348814594,0.9763418102698403,True,True,True,True,False,False,False
