position,subprotocol,length,nearest_token_ids,displacement_q05,displacement_median,displacement_q95,separation_margin,mean_separation,linear_auc,balanced_accuracy,fpr_at_95_tpr,compact_radius_q95,pairwise_mean,pairwise_q05,sample_blank_margin,cluster_blank_margin,density_blank_margin,source_escape_q05,center_norm_pre_normalization,shift_certified,separator_certified,compact_certified,sample_blank_certified,cluster_blank_certified,density_blank_certified,blank_region_certified
suffix,blank,1,9039,0.18640231169669258,0.26839202479095536,0.3770770402231045,0.11454011281116089,0.2426232909672013,0.999786376953125,0.99609375,0.00390625,0.590140888844956,0.7328142414896077,0.6742994057105082,-0.0684112342731007,-0.8683081552210759,-0.7279009572821399,-0.11760171553433274,0.856795121114715,True,True,False,False,False,False,False
suffix,blank,2,"31138,27704",0.2612248499838616,0.36283716277227174,0.46270140694162043,0.16061480983188023,0.31414211564385475,0.99993896484375,0.994140625,0.0,0.5429134577076126,0.7887674222766987,0.7335793478269692,0.002514296082194445,-0.7681569928490419,-0.652441479006511,-0.10848282774049371,0.888686600600668,True,True,False,True,False,False,False
suffix,blank,4,"29872,13665,30290,541",0.3588477326858887,0.4808250955218892,0.5938677088451624,0.21353581817162204,0.4074316823466288,1.0,1.0,0.0,0.4843193227225753,0.837424923722602,0.791672584045227,0.0669201266541869,-0.6394208725599402,-0.5942324212539742,-0.08894441539434239,0.9152036082849999,True,True,False,True,False,False,False
suffix,blank,8,"23093,29039,10728,3290,6391,20145,23862,31871",0.46076315631853226,0.5643838040233491,0.6387236373936156,0.3302289553561433,0.4651472870549703,1.0,1.0,0.0,0.3802194444718827,0.9044272158261658,0.8696873759639329,0.24962227517335822,-0.47553753699480417,-0.42279212050403436,-0.06205122409994018,0.9512062216779521,True,True,True,True,False,False,False
suffix,blank,16,"30251,11604,5989,16246,16793,8174,18880,10338,7875,27803,19515,9754,20858,16120,31716,25837",0.5167315276426601,0.6123428898799509,0.6702461109074371,0.3659217688274752,0.4768422439260435,1.0,1.0,0.0,0.32071017600171625,0.9361724383041197,0.9081856140118926,0.3086277972288276,-0.4079734519722136,-0.34703283220666215,-0.07661917727665601,0.9677280449839043,True,True,True,True,False,False,False
