pair_offset,source_row,inserted_count,cosine_similarity
0,9,0,0.4991919994354248
0,9,1,0.5585651993751526
0,9,2,0.5808782577514648
0,9,3,0.5966100096702576
0,9,4,0.6073654294013977
0,9,5,0.614575982093811
0,9,6,0.6197399497032166
0,9,7,0.6230113506317139
0,9,8,0.6253463625907898
0,9,9,0.627426266670227
0,9,10,0.6290950179100037
0,9,11,0.6305242776870728
0,9,12,0.6316637396812439
0,9,13,0.6324131488800049
0,9,14,0.6332489252090454
0,9,15,0.6335493922233582
0,9,16,0.6334851980209351
0,9,17,0.633528470993042
0,9,18,0.6333282589912415
0,9,19,0.6332288980484009
0,9,20,0.6330376863479614
0,9,21,0.6328058838844299
0,9,22,0.6326743364334106
0,9,23,0.6325264573097229
0,9,24,0.6324340105056763
0,9,25,0.6323210000991821
0,9,26,0.6321946382522583
0,9,27,0.6320417523384094
0,9,28,0.6318776607513428
0,9,29,0.6317119002342224
0,9,30,0.6315406560897827
1,54,0,0.5186293125152588
1,54,1,0.5973143577575684
1,54,2,0.63051837682724
1,54,3,0.6535791158676147
1,54,4,0.6688469648361206
1,54,5,0.6804693937301636
1,54,6,0.689635157585144
1,54,7,0.6964524388313293
1,54,8,0.7018117904663086
1,54,9,0.705998420715332
1,54,10,0.709135115146637
1,54,11,0.7117059230804443
1,54,12,0.7136298418045044
1,54,13,0.7150964140892029
1,54,14,0.7162017822265625
1,54,15,0.7169784307479858
1,54,16,0.7175086140632629
1,54,17,0.7176014184951782
1,54,18,0.7175395488739014
1,54,19,0.7174704074859619
1,54,20,0.7173260450363159
1,54,21,0.7171244025230408
1,54,22,0.7168859243392944
1,54,23,0.716648280620575
1,54,24,0.7163926362991333
1,54,25,0.7161222696304321
1,54,26,0.7158383727073669
1,54,27,0.7155759334564209
1,54,28,0.7153417468070984
1,54,29,0.7151305675506592
1,54,30,0.7149280905723572
2,98,0,0.5302551984786987
2,98,1,0.6027122139930725
2,98,2,0.639683187007904
2,98,3,0.6618906259536743
2,98,4,0.677520215511322
2,98,5,0.6886159181594849
2,98,6,0.697686493396759
2,98,7,0.7041829228401184
2,98,8,0.7092766761779785
2,98,9,0.712966799736023
2,98,10,0.7159639596939087
2,98,11,0.7183312177658081
2,98,12,0.720344066619873
2,98,13,0.7217717170715332
2,98,14,0.7228615880012512
2,98,15,0.7237237095832825
2,98,16,0.724367618560791
2,98,17,0.7249940037727356
2,98,18,0.7251774072647095
2,98,19,0.7252532243728638
2,98,20,0.7251850366592407
2,98,21,0.7250590324401855
2,98,22,0.7248780131340027
2,98,23,0.7246360778808594
2,98,24,0.7243334054946899
2,98,25,0.724030077457428
2,98,26,0.7237741351127625
2,98,27,0.7235628366470337
2,98,28,0.7233567833900452
2,98,29,0.7231460809707642
2,98,30,0.722937822341919
3,150,0,0.5572649240493774
3,150,1,0.6107661724090576
3,150,2,0.6418101787567139
3,150,3,0.6644299030303955
3,150,4,0.6797165274620056
3,150,5,0.6904162168502808
3,150,6,0.6988527178764343
3,150,7,0.705407977104187
3,150,8,0.7107224464416504
3,150,9,0.7151376008987427
3,150,10,0.7183087468147278
3,150,11,0.720680296421051
3,150,12,0.7224986553192139
3,150,13,0.7238503694534302
3,150,14,0.7248397469520569
3,150,15,0.7255319356918335
3,150,16,0.7258802652359009
3,150,17,0.7262753248214722
3,150,18,0.7264070510864258
3,150,19,0.7263278961181641
3,150,20,0.7261379361152649
3,150,21,0.7258099913597107
3,150,22,0.725385308265686
3,150,23,0.7249311208724976
3,150,24,0.7245001792907715
3,150,25,0.7240458726882935
3,150,26,0.7235732078552246
3,150,27,0.7231079339981079
3,150,28,0.7226623892784119
3,150,29,0.7222260236740112
3,150,30,0.7218145132064819
4,187,0,0.5765074491500854
4,187,1,0.6300626993179321
4,187,2,0.6584787368774414
4,187,3,0.6789025068283081
4,187,4,0.6924999952316284
4,187,5,0.7022109031677246
4,187,6,0.7092956304550171
4,187,7,0.714396595954895
4,187,8,0.7184450030326843
4,187,9,0.7214818000793457
4,187,10,0.723779559135437
4,187,11,0.7254506349563599
4,187,12,0.7265822887420654
4,187,13,0.7271939516067505
4,187,14,0.7275638580322266
4,187,15,0.7277694940567017
4,187,16,0.7277942895889282
4,187,17,0.7276074886322021
4,187,18,0.7271985411643982
4,187,19,0.7268345355987549
4,187,20,0.7264191508293152
4,187,21,0.725956380367279
4,187,22,0.7254788875579834
4,187,23,0.7249976396560669
4,187,24,0.7245237827301025
4,187,25,0.7240356206893921
4,187,26,0.7235613465309143
4,187,27,0.7231042385101318
4,187,28,0.7226837873458862
4,187,29,0.7222842574119568
4,187,30,0.7218971252441406
5,226,0,0.5967883467674255
5,226,1,0.6645182371139526
5,226,2,0.6992871761322021
5,226,3,0.7149009704589844
5,226,4,0.7229532599449158
5,226,5,0.7273845672607422
5,226,6,0.7301270365715027
5,226,7,0.7316737771034241
5,226,8,0.7325872182846069
5,226,9,0.7330402135848999
5,226,10,0.7333459854125977
5,226,11,0.7332026362419128
5,226,12,0.7329820990562439
5,226,13,0.7325911521911621
5,226,14,0.7323334813117981
5,226,15,0.7317818403244019
5,226,16,0.7308074235916138
5,226,17,0.7301760911941528
5,226,18,0.7294628620147705
5,226,19,0.7288980484008789
5,226,20,0.7282800078392029
5,226,21,0.7276996374130249
5,226,22,0.7271180152893066
5,226,23,0.7265646457672119
