iteration,objective,soft_separation,soft_compact_radius,soft_blank_margin
0.0,0.03623450919985771,0.06925056874752045,0.5865363478660583,0.029309451580047607
1.0,0.0621127225458622,0.09433422982692719,0.5691620111465454,0.05267930030822754
2.0,0.06420700252056122,0.07635698467493057,0.5669844150543213,0.05657130479812622
3.0,0.015361067838966846,0.09778258204460144,0.6158490777015686,0.0055828094482421875
4.0,0.049954045563936234,0.09185005724430084,0.5807616710662842,0.04076904058456421
5.0,0.06279204040765762,0.13766923546791077,0.5770567655563354,0.049025118350982666
6.0,0.02220771461725235,0.09734249114990234,0.6121662855148315,0.012473464012145996
7.0,0.08470083773136139,0.14745786786079407,0.5566068887710571,0.06995505094528198
8.0,0.093626469373703,0.15931814908981323,0.5519620776176453,0.07769465446472168
9.0,0.08642397820949554,0.15737760066986084,0.5591244101524353,0.0706862211227417
10.0,0.09305094182491302,0.1641063392162323,0.5534219741821289,0.0766403079032898
11.0,0.06619027256965637,0.11035174131393433,0.5775579214096069,0.05515509843826294
12.0,0.08184502273797989,0.1123378723859787,0.5557368993759155,0.07061123847961426
13.0,0.0876760333776474,0.1594226360321045,0.5565486550331116,0.07173377275466919
14.0,0.10030616819858551,0.17695499956607819,0.5499185919761658,0.08261066675186157
15.0,0.06774738430976868,0.1454845368862152,0.5799371600151062,0.053198933601379395
16.0,0.08529889583587646,0.16395747661590576,0.5643084049224854,0.06890314817428589
17.0,0.10602933913469315,0.17728695273399353,0.5470613837242126,0.08830064535140991
18.0,0.09428871423006058,0.13771659135818481,0.5527113080024719,0.08051705360412598
19.0,0.10283367335796356,0.14752793312072754,0.5466865301132202,0.08808088302612305
20.0,0.09515254199504852,0.17792630195617676,0.5581554770469666,0.07735991477966309
21.0,0.08139641582965851,0.15400424599647522,0.5700697302818298,0.06599599123001099
22.0,0.05249927192926407,0.1486472189426422,0.6046291589736938,0.03763455152511597
23.0,0.0895141214132309,0.14563903212547302,0.561648964881897,0.0749502182006836
24.0,0.09975478053092957,0.1492193341255188,0.5550494194030762,0.08483284711837769
25.0,0.08656282722949982,0.15407991409301758,0.5657955408096313,0.07115483283996582
26.0,0.060560718178749084,0.16114962100982666,0.5965188145637512,0.04444575309753418
27.0,0.07087218016386032,0.16981178522109985,0.5883660912513733,0.053891003131866455
28.0,0.1037733182311058,0.17572304606437683,0.5508847832679749,0.086201012134552
29.0,0.13511958718299866,0.19579026103019714,0.5279746055603027,0.11554056406021118
30.0,0.10267960280179977,0.18506461381912231,0.5522366762161255,0.08417314291000366
31.0,0.11979436874389648,0.19902999699115753,0.5407149791717529,0.09989136457443237
32.0,0.07894928753376007,0.17963182926177979,0.5790784358978271,0.060986101627349854
33.0,0.11373483389616013,0.20168298482894897,0.5528191924095154,0.09356653690338135
34.0,0.12178831547498703,0.19351118803024292,0.541438639163971,0.10243719816207886
35.0,0.11503671854734421,0.1929967999458313,0.5427067875862122,0.0957370400428772
36.0,0.13187651336193085,0.20126810669898987,0.5357010364532471,0.11174970865249634
37.0,0.12919631600379944,0.20414911210536957,0.5317392349243164,0.10878139734268188
38.0,0.13842779397964478,0.2079719603061676,0.5275957584381104,0.11763060092926025
39.0,0.08528848737478256,0.18657827377319336,0.5811169147491455,0.06663066148757935
40.0,0.10348020493984222,0.18435046076774597,0.5650027394294739,0.08504515886306763
41.0,0.13495801389217377,0.2042863667011261,0.533697783946991,0.11452937126159668
42.0,0.12090150266885757,0.1917097568511963,0.543029248714447,0.10173052549362183
43.0,0.08631671220064163,0.18288561701774597,0.5746210813522339,0.06802815198898315
44.0,0.12751364707946777,0.21822340786457062,0.538036584854126,0.10569131374359131
45.0,0.13449563086032867,0.20059719681739807,0.5273870825767517,0.11443591117858887
46.0,0.13136649131774902,0.21062071621418,0.5339924693107605,0.11030441522598267
47.0,0.1249554380774498,0.21091902256011963,0.5403268337249756,0.10386353731155396
48.0,0.10235422104597092,0.19045045971870422,0.5651451349258423,0.08330917358398438
49.0,0.15684784948825836,0.21388667821884155,0.5146897435188293,0.13545918464660645
50.0,0.14547979831695557,0.2150791585445404,0.5283597707748413,0.12397187948226929
51.0,0.10198237746953964,0.20577514171600342,0.5641241073608398,0.08140486478805542
52.0,0.15171262621879578,0.22925709187984467,0.5200467109680176,0.12878692150115967
53.0,0.14517290890216827,0.20665478706359863,0.5211058855056763,0.12450742721557617
54.0,0.1135837510228157,0.20347362756729126,0.5535933375358582,0.09323638677597046
55.0,0.11811137944459915,0.21869604289531708,0.5567334294319153,0.0962417721748352
56.0,0.15170307457447052,0.22284159064292908,0.5222557783126831,0.12941890954971313
57.0,0.15340948104858398,0.2299475520849228,0.5175448656082153,0.13041472434997559
58.0,0.15433311462402344,0.2418297529220581,0.5183155536651611,0.13015013933181763
59.0,0.11925369501113892,0.23224177956581116,0.5525528788566589,0.09602952003479004
60.0,0.12023866176605225,0.2130698710680008,0.5473964214324951,0.09893167018890381
61.0,0.15584701299667358,0.23162302374839783,0.5238181352615356,0.13268470764160156
62.0,0.13912004232406616,0.21586118638515472,0.5361722707748413,0.11753392219543457
63.0,0.1422000676393509,0.225190669298172,0.5339823365211487,0.11968100070953369
64.0,0.1284411996603012,0.219747856259346,0.5466859340667725,0.10646641254425049
65.0,0.14908574521541595,0.21637368202209473,0.5254635214805603,0.12744837999343872
66.0,0.14510013163089752,0.222286194562912,0.5272707939147949,0.1228715181350708
67.0,0.15623906254768372,0.22098034620285034,0.5153751373291016,0.13414102792739868
68.0,0.1176394671201706,0.21435603499412537,0.5561187863349915,0.09620386362075806
69.0,0.1228870078921318,0.22498780488967896,0.5544887185096741,0.10038822889328003
70.0,0.12896819412708282,0.22343406081199646,0.546229898929596,0.1066247820854187
71.0,0.16892275214195251,0.24378390610218048,0.5125541687011719,0.14454436302185059
72.0,0.13417606055736542,0.24636617302894592,0.5475449562072754,0.1095394492149353
73.0,0.15490564703941345,0.22970768809318542,0.5237369537353516,0.13193488121032715
74.0,0.13494035601615906,0.22188398241996765,0.5431492328643799,0.11275196075439453
75.0,0.13467928767204285,0.2260664701461792,0.5426657795906067,0.1120726466178894
76.0,0.13416653871536255,0.22922760248184204,0.5450865626335144,0.11124378442764282
77.0,0.1477346271276474,0.22736242413520813,0.5279453992843628,0.12499839067459106
78.0,0.15280166268348694,0.23719394207000732,0.5238388180732727,0.12908226251602173
79.0,0.16764438152313232,0.24463237822055817,0.5146967768669128,0.14318114519119263
80.0,0.1514551341533661,0.2270171046257019,0.5213174819946289,0.1287534236907959
81.0,0.13484454154968262,0.22618943452835083,0.5434401035308838,0.11222559213638306
82.0,0.1483813375234604,0.22667573392391205,0.5273258686065674,0.1257137656211853
83.0,0.16103826463222504,0.23757794499397278,0.5201359391212463,0.13728046417236328
84.0,0.1655871868133545,0.2482372522354126,0.5180767774581909,0.14076346158981323
85.0,0.157808318734169,0.23955059051513672,0.5219797492027283,0.1338532567024231
86.0,0.15348635613918304,0.23014593124389648,0.5216992497444153,0.13047176599502563
87.0,0.14832231402397156,0.24026238918304443,0.5355117321014404,0.12429606914520264
88.0,0.1464817225933075,0.25337064266204834,0.5391325354576111,0.12114465236663818
89.0,0.1783163994550705,0.24043899774551392,0.5066182017326355,0.15427249670028687
90.0,0.14671164751052856,0.23313042521476746,0.5328025221824646,0.12339860200881958
