pair_offset,source_row,inserted_count,cosine_similarity
0,20,0,0.5053189992904663
0,20,1,0.4960934817790985
0,20,2,0.607426643371582
0,20,3,0.6429623365402222
0,20,4,0.6619231700897217
0,20,5,0.6748014688491821
0,20,6,0.6951342821121216
0,20,7,0.7093578577041626
0,20,8,0.7223151922225952
0,20,9,0.7244766354560852
0,20,10,0.7270710468292236
0,20,11,0.728017270565033
0,20,12,0.7286324501037598
0,20,13,0.7283820509910583
0,20,14,0.7287068963050842
0,20,15,0.7288375496864319
0,20,16,0.7284849286079407
0,20,17,0.7287219762802124
0,20,18,0.7288480997085571
0,20,19,0.7289383411407471
0,20,20,0.7290177941322327
0,20,21,0.7290521264076233
0,20,22,0.7291181087493896
0,20,23,0.7291244268417358
0,20,24,0.7291266918182373
0,20,25,0.7291247844696045
0,20,26,0.7291238307952881
0,20,27,0.729122519493103
0,20,28,0.7291194796562195
0,20,29,0.7291162014007568
0,20,30,0.7291125059127808
1,71,0,0.520999014377594
1,71,1,0.5334489941596985
1,71,2,0.6401535272598267
1,71,3,0.6672319173812866
1,71,4,0.6836989521980286
1,71,5,0.6946580410003662
1,71,6,0.709293782711029
1,71,7,0.7141093015670776
1,71,8,0.7172905206680298
1,71,9,0.7196974754333496
1,71,10,0.7215922474861145
1,71,11,0.7230826020240784
1,71,12,0.7242835760116577
1,71,13,0.7256143093109131
1,71,14,0.7263729572296143
1,71,15,0.7273868322372437
1,71,16,0.7280418872833252
1,71,17,0.7284718155860901
1,71,18,0.7288001775741577
1,71,19,0.7291241884231567
1,71,20,0.7260881066322327
1,71,21,0.7262035608291626
1,71,22,0.7264429330825806
1,71,23,0.7266181707382202
1,71,24,0.7267913818359375
1,71,25,0.7268905639648438
1,71,26,0.7294982671737671
1,71,27,0.7296454906463623
1,71,28,0.7297079563140869
1,71,29,0.7297710180282593
1,71,30,0.7298071384429932
2,85,0,0.5234466791152954
2,85,1,0.5427002906799316
2,85,2,0.6187945008277893
2,85,3,0.6200602054595947
2,85,4,0.6455000638961792
