iteration,objective,soft_separation,soft_compact_radius,soft_blank_margin
0.0,0.18676957488059998,0.18676957488059998,0.5148948431015015,0.13381677865982056
1.0,0.22946175932884216,0.22946175932884216,0.5182657241821289,0.13250350952148438
2.0,0.21642595529556274,0.21642595529556274,0.5081264972686768,0.13893693685531616
3.0,0.22680285573005676,0.22680285573005676,0.505783200263977,0.14495784044265747
4.0,0.18944594264030457,0.18944594264030457,0.49764737486839294,0.15413764119148254
5.0,0.20806339383125305,0.20806339383125305,0.5062061548233032,0.1472185254096985
6.0,0.2585892379283905,0.2585892379283905,0.51164710521698,0.14104366302490234
7.0,0.20636609196662903,0.20636609196662903,0.49703511595726013,0.15505525469779968
8.0,0.2439187467098236,0.2439187467098236,0.49343112111091614,0.15756914019584656
9.0,0.24119192361831665,0.24119192361831665,0.5024168491363525,0.1514691710472107
10.0,0.21858879923820496,0.21858879923820496,0.5136632323265076,0.1398075819015503
11.0,0.26603907346725464,0.26603907346725464,0.500256359577179,0.15956854820251465
12.0,0.23614493012428284,0.23614493012428284,0.5066841840744019,0.14777499437332153
13.0,0.24268686771392822,0.24268686771392822,0.4938107430934906,0.1646251380443573
14.0,0.23894751071929932,0.23894751071929932,0.49692973494529724,0.15788009762763977
15.0,0.253917932510376,0.253917932510376,0.47147437930107117,0.1856841742992401
16.0,0.2486361861228943,0.2486361861228943,0.5082736015319824,0.15310674905776978
17.0,0.25186869502067566,0.25186869502067566,0.4890616834163666,0.1661817729473114
18.0,0.2460491955280304,0.2460491955280304,0.4968099892139435,0.16004201769828796
19.0,0.2679554522037506,0.2679554522037506,0.48795023560523987,0.17418280243873596
20.0,0.2705537974834442,0.2705537974834442,0.49380841851234436,0.16758427023887634
21.0,0.24817904829978943,0.24817904829978943,0.4948771297931671,0.16860726475715637
22.0,0.23370954394340515,0.23370954394340515,0.4930601418018341,0.16426292061805725
23.0,0.22058260440826416,0.22058260440826416,0.4832480847835541,0.17729344964027405
24.0,0.2593071758747101,0.2593071758747101,0.5043331384658813,0.15541642904281616
25.0,0.24951961636543274,0.24951961636543274,0.4825093448162079,0.1780431568622589
26.0,0.2703574299812317,0.2703574299812317,0.48513779044151306,0.1797941029071808
27.0,0.26277095079421997,0.26277095079421997,0.4787040054798126,0.18482807278633118
28.0,0.2892395257949829,0.2892395257949829,0.478350967168808,0.18780139088630676
29.0,0.29540225863456726,0.29540225863456726,0.45893046259880066,0.2064749300479889
30.0,0.30065280199050903,0.30065280199050903,0.48200634121894836,0.18534567952156067
31.0,0.2740226089954376,0.2740226089954376,0.47604742646217346,0.1919299066066742
32.0,0.2864786386489868,0.2864786386489868,0.4747945964336395,0.18969985842704773
33.0,0.2926563322544098,0.2926563322544098,0.46464625000953674,0.20378801226615906
34.0,0.29026126861572266,0.29026126861572266,0.46268925070762634,0.20611020922660828
35.0,0.27106285095214844,0.27106285095214844,0.4825054705142975,0.18640020489692688
36.0,0.2815552055835724,0.2815552055835724,0.47943195700645447,0.18883457779884338
37.0,0.2825346291065216,0.2825346291065216,0.47983554005622864,0.18911966681480408
38.0,0.2604741156101227,0.2604741156101227,0.4668152630329132,0.20551791787147522
39.0,0.2663760185241699,0.2663760185241699,0.4823261797428131,0.18326357007026672
40.0,0.2702791392803192,0.2702791392803192,0.465713769197464,0.20328888297080994
41.0,0.26621726155281067,0.26621726155281067,0.4665500819683075,0.20460942387580872
42.0,0.2531464099884033,0.2531464099884033,0.46192142367362976,0.21013250946998596
43.0,0.2902391850948334,0.2902391850948334,0.457917720079422,0.21208271384239197
44.0,0.3040456771850586,0.3040456771850586,0.4713992178440094,0.20328423380851746
45.0,0.2895072102546692,0.2895072102546692,0.4491799771785736,0.2265011966228485
46.0,0.27683666348457336,0.27683666348457336,0.4521484076976776,0.22100380063056946
47.0,0.2937543988227844,0.2937543988227844,0.4569533169269562,0.21763452887535095
48.0,0.2993953824043274,0.2993953824043274,0.46502485871315,0.21093598008155823
49.0,0.2588421404361725,0.2588421404361725,0.4583868682384491,0.2143440544605255
50.0,0.2833353281021118,0.2833353281021118,0.45561888813972473,0.2207278311252594
51.0,0.2933366000652313,0.2933366000652313,0.4509499967098236,0.22462692856788635
52.0,0.2909611761569977,0.2909611761569977,0.4493098556995392,0.22964808344841003
53.0,0.27472683787345886,0.27472683787345886,0.4428069293498993,0.2337563931941986
54.0,0.28912997245788574,0.28912997245788574,0.4409547746181488,0.23766294121742249
55.0,0.28424379229545593,0.28424379229545593,0.44614264369010925,0.2303961217403412
56.0,0.3233667314052582,0.3233667314052582,0.4576093852519989,0.22331956028938293
57.0,0.3223813474178314,0.3223813474178314,0.44254669547080994,0.23681840300559998
58.0,0.313472181558609,0.313472181558609,0.43894943594932556,0.2458532154560089
59.0,0.3117055296897888,0.3117055296897888,0.44780948758125305,0.2322881519794464
60.0,0.28273946046829224,0.28273946046829224,0.44441065192222595,0.2330351173877716
61.0,0.29162272810935974,0.29162272810935974,0.4248301684856415,0.2567712962627411
62.0,0.31154853105545044,0.31154853105545044,0.46121230721473694,0.2210405170917511
63.0,0.30913928151130676,0.30913928151130676,0.4587734639644623,0.21913543343544006
64.0,0.2985798716545105,0.2985798716545105,0.4393199384212494,0.24528804421424866
65.0,0.3176111578941345,0.3176111578941345,0.44783279299736023,0.23301592469215393
66.0,0.311410129070282,0.311410129070282,0.44953563809394836,0.23442760109901428
67.0,0.3267706334590912,0.3267706334590912,0.4363158643245697,0.2446012794971466
68.0,0.2894604504108429,0.2894604504108429,0.4269954264163971,0.2546767294406891
69.0,0.29859429597854614,0.29859429597854614,0.4341936409473419,0.24730047583580017
70.0,0.31652259826660156,0.31652259826660156,0.43620559573173523,0.24595436453819275
71.0,0.31990402936935425,0.31990402936935425,0.4200691282749176,0.2635937035083771
72.0,0.31986162066459656,0.31986162066459656,0.44127967953681946,0.23925504088401794
73.0,0.31180328130722046,0.31180328130722046,0.42847105860710144,0.2574301064014435
74.0,0.3168725371360779,0.3168725371360779,0.44071969389915466,0.24352124333381653
75.0,0.3132713735103607,0.3132713735103607,0.4353645145893097,0.25229933857917786
76.0,0.30746451020240784,0.30746451020240784,0.43491896986961365,0.25267747044563293
77.0,0.3256363272666931,0.3256363272666931,0.4319228231906891,0.2533999979496002
78.0,0.33386847376823425,0.33386847376823425,0.4310608208179474,0.2550183832645416
79.0,0.3252268433570862,0.3252268433570862,0.43719592690467834,0.2494617998600006
80.0,0.3534473478794098,0.3534473478794098,0.426731675863266,0.264084130525589
81.0,0.3345434069633484,0.3345434069633484,0.4246315062046051,0.2665841281414032
82.0,0.31651222705841064,0.31651222705841064,0.42321380972862244,0.26611414551734924
83.0,0.31009459495544434,0.31009459495544434,0.4287925064563751,0.26219019293785095
84.0,0.3293130397796631,0.3293130397796631,0.42550238966941833,0.2658785283565521
85.0,0.3248126804828644,0.3248126804828644,0.40501537919044495,0.2837508022785187
86.0,0.3401568531990051,0.3401568531990051,0.4206479489803314,0.2720503509044647
87.0,0.3322952687740326,0.3322952687740326,0.420348197221756,0.2713019549846649
88.0,0.3490690588951111,0.3490690588951111,0.39154714345932007,0.303270161151886
89.0,0.3187766969203949,0.3187766969203949,0.41521912813186646,0.28060096502304077
90.0,0.32412198185920715,0.32412198185920715,0.4054204225540161,0.2899870276451111
91.0,0.35110583901405334,0.35110583901405334,0.41995248198509216,0.2740759551525116
92.0,0.3549053370952606,0.3549053370952606,0.42519137263298035,0.2716517150402069
93.0,0.3698217272758484,0.3698217272758484,0.4189141094684601,0.2786084711551666
94.0,0.35622847080230713,0.35622847080230713,0.4157746732234955,0.2822929322719574
95.0,0.35862481594085693,0.35862481594085693,0.4118232727050781,0.28722119331359863
96.0,0.36049026250839233,0.36049026250839233,0.4244055449962616,0.2749200761318207
97.0,0.3542802631855011,0.3542802631855011,0.40933653712272644,0.2887185513973236
98.0,0.34103187918663025,0.34103187918663025,0.4176582992076874,0.2762455642223358
99.0,0.38504213094711304,0.38504213094711304,0.3893813192844391,0.31299105286598206
