pair_offset,source_row,inserted_count,cosine_similarity
0,9,0,0.4991919994354248
0,9,1,0.8083595633506775
0,9,2,0.8637781143188477
0,9,3,0.9027779698371887
0,9,4,0.9263395071029663
0,9,5,0.9419913291931152
0,9,6,0.9532357454299927
0,9,7,0.9614508748054504
0,9,8,0.9677237868309021
0,9,9,0.9727763533592224
0,9,10,0.9767054319381714
0,9,11,0.9798620939254761
0,9,12,0.9824425578117371
0,9,13,0.9845705032348633
0,9,14,0.9863722324371338
0,9,15,0.9879088401794434
0,9,16,0.9892787933349609
0,9,17,0.9904776811599731
0,9,18,0.9915604591369629
0,9,19,0.9924346804618835
0,9,20,0.9932041764259338
0,9,21,0.9938489198684692
0,9,22,0.9944002628326416
0,9,23,0.9948741793632507
0,9,24,0.9952893853187561
0,9,25,0.9956575036048889
0,9,26,0.995983362197876
0,9,27,0.9962740540504456
0,9,28,0.9965354800224304
0,9,29,0.9967707991600037
0,9,30,0.9969838857650757
1,54,0,0.5186293125152588
1,54,1,0.8387773036956787
1,54,2,0.8862231969833374
1,54,3,0.9197355508804321
1,54,4,0.940180778503418
1,54,5,0.9537848234176636
1,54,6,0.963188648223877
1,54,7,0.9698673486709595
1,54,8,0.9750791788101196
1,54,9,0.9792746901512146
1,54,10,0.9825576543807983
1,54,11,0.9851527214050293
1,54,12,0.9872702360153198
1,54,13,0.9889852404594421
1,54,14,0.9903867244720459
1,54,15,0.991563081741333
1,54,16,0.992572009563446
1,54,17,0.9934237003326416
1,54,18,0.9941643476486206
1,54,19,0.9947628974914551
1,54,20,0.995290994644165
1,54,21,0.9957570433616638
1,54,22,0.9961612224578857
1,54,23,0.9965125322341919
1,54,24,0.9968188405036926
1,54,25,0.9970877170562744
1,54,26,0.9973222017288208
1,54,27,0.9975283741950989
1,54,28,0.9977100491523743
1,54,29,0.9978729486465454
1,54,30,0.9980180263519287
2,98,0,0.5302551984786987
2,98,1,0.8617159128189087
2,98,2,0.9121066331863403
2,98,3,0.9426695108413696
2,98,4,0.9595940113067627
2,98,5,0.9696948528289795
