pool_index,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
0,30332,lucrarea,lucrarea,OK,"(30332,)",0.110770146548748,0.0,True,0.060770146548748,0.060770146548748,0.0437256097793579,1.0,-0.0100270986557006,0.0079274202386538,0.0,0.8412904200877129,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
1,22665,pictured,pictured,OK,"(22665,)",0.0606870758036772,0.1358276319409173,False,0.0273537424703439,0.0273537424703439,0.009254515171051,0.6666666666666666,-0.018745732307434,-0.0059851532181104,0.0208333333333333,0.9078717518023426,0.976470588235294,0.0882085843218697,0.0476190476190476,0.0,0.0,0.0,0.0
2,26170,athlet,athlet,OK,"(26170,)",0.071059959133466,0.1810202924978164,False,0.0377266258001327,0.0377266258001327,0.0162659227848053,0.6666666666666666,-0.0226680248975753,-0.0094385892152786,0.0416666666666666,0.8644868559962264,0.95,0.0,0.0476190476190476,0.1334012448787688,0.0,0.0,0.0
3,22526, martial,▁martial,OK,"(22526,)",0.0585775449872016,0.2019546013029793,False,0.0271556476751963,0.0273275449872016,0.0104735791683197,0.625,-0.0191354542970657,-0.0063340241710344,0.0208333333333333,0.8561442747840002,0.9588235294117649,0.0948117441601222,0.107142857142857,0.0,0.0,0.0,0.0
4,1817, mis,▁mis,OK,"(1817,)",0.057119596004486,0.2629942728413475,False,0.0271101718147595,0.0279529293378194,0.0091559588909149,0.5833333333333334,-0.0186451286077499,-0.0096697236100832,0.0416666666666666,0.8609608649731464,0.9705882352941176,0.0963276061746809,0.1666666666666665,0.0,0.0,0.0,0.0
5,2426, movement,▁movement,OK,"(2426,)",0.0560429319739341,0.2938876464253379,False,0.0243976563215255,0.0247929319739341,0.0039263129234313,0.625,-0.0165761709213256,-0.0059354305267333,0.0,0.8697413390722799,0.973529411764706,0.1867447892824808,0.107142857142857,0.0,0.0,0.0,0.0
6,21014, sportiv,▁sportiv,OK,"(21014,)",0.059273708363374,0.2976520643347785,False,0.0321903750300407,0.0321903750300407,0.0085577607154846,0.5416666666666666,-0.021429231762886,-0.0090981200337409,0.0416666666666666,0.8466952672292866,0.9411764705882352,0.0,0.2261904761904762,0.0714615881443022,0.0,0.0,0.0
7,6298, Image,▁Image,OK,"(6298,)",0.0547877207398414,0.3126315308941734,False,0.0256210540731747,0.0256210540731747,0.0087698400020599,0.5833333333333334,-0.0187403529882431,-0.0091275249918301,0.0208333333333333,0.8168473827119764,0.976470588235294,0.1459648642275068,0.1666666666666665,0.0,0.0,0.0,0.0
8,17682,Sport,Sport,OK,"(17682,)",0.0541135758161544,0.3152617585091363,False,0.0291135758161544,0.0291135758161544,0.0064407289028167,0.5,-0.0194243073463439,-0.0088559364279111,0.0208333333333333,0.8749036585475989,0.9647058823529412,0.0295474727948506,0.2857142857142856,0.0,0.0,0.0,0.0
9,3349, Sport,▁Sport,OK,"(3349,)",0.053931920727094,0.3213169281444851,False,0.028931920727094,0.028931920727094,0.0065227210521698,0.5,-0.0189341336488723,-0.0076493720213572,0.0208333333333333,0.8749036585475989,0.9647058823529412,0.0356026424301995,0.2857142857142856,0.0,0.0,0.0,0.0
10,15854, realm,▁realm,OK,"(15854,)",0.0546435912450154,0.3273564823090083,False,0.0233935912450154,0.0233935912450154,0.0082625448703765,0.625,-0.013903522491455,-0.0088143001000086,0.0208333333333333,0.8784008580940675,0.9911764705882352,0.2202136251661512,0.107142857142857,0.0,0.0,0.0,0.0
11,9161, bro,▁bro,OK,"(9161,)",0.0545913030703862,0.3773797201731848,False,0.0233413030703862,0.0233413030703862,0.0082731902599334,0.625,-0.0209656059741973,-0.0102978820602099,0.0416666666666666,0.8870836109884022,0.9852941176470588,0.2219565643204583,0.107142857142857,0.0482802987098693,0.0,0.0,0.0
