iteration,unique_population,feasible_population,best_feasible,best_constraint_violation,best_objective,distribution_entropy,best_sequence
0,128,0,False,13.456874837547968,0.06971501057961188,5.126242179000789,"232,162,195,9,248"
1,128,0,False,8.640355217847372,0.13609047899923019,4.676560640212156,"219,124,195,127,214"
2,128,0,False,7.911628844643798,0.1405766358767405,4.175497678915685,"195,33,169,214,138"
3,128,0,False,5.531838548541864,0.17593913759236962,3.700761204694994,"0,205,195,214,106"
4,128,0,False,4.595388570182359,0.21078251617082677,3.2791404312815104,"0,240,195,16,240"
5,128,0,False,4.420613116669563,0.19179995912552794,2.8247402537417785,"35,240,173,214,195"
6,125,0,False,4.420613116669563,0.19179995912552794,2.4302663485564366,"35,240,173,214,195"
7,123,0,False,4.420613116669563,0.19179995912552794,2.136797581481879,"35,240,173,214,195"
8,117,0,False,3.4926254917747057,0.2186336578889146,1.8352851307213487,"0,44,195,214,240"
9,110,0,False,3.4926254917747057,0.2186336578889146,1.5902834312633465,"0,44,195,214,240"
10,100,0,False,3.4392111539228742,0.20671002486248835,1.4502827246652763,"251,240,195,214,240"
11,82,0,False,3.4392111539228742,0.20671002486248835,1.367299462622689,"251,240,195,214,240"
12,79,0,False,2.992513010067265,0.22149223510017113,1.3397358659276521,"0,240,195,229,16"
13,84,0,False,2.992513010067265,0.22149223510017113,1.2882001734200652,"0,240,195,229,16"
14,79,0,False,2.992513010067265,0.22149223510017113,1.2420786076256207,"0,240,195,229,16"
15,82,0,False,2.992513010067265,0.22149223510017113,1.2001796255552777,"0,240,195,229,16"
16,73,0,False,2.992513010067265,0.22149223510017113,1.1847063115853507,"0,240,195,229,16"
17,76,0,False,2.992513010067265,0.22149223510017113,1.1413874902961998,"0,240,195,229,16"
18,66,0,False,2.992513010067265,0.22149223510017113,1.122433548616622,"0,240,195,229,16"
19,68,0,False,2.992513010067265,0.22149223510017113,1.111492841195647,"0,240,195,229,16"
20,69,0,False,2.992513010067265,0.22149223510017113,1.086967075052615,"0,240,195,229,16"
21,62,0,False,2.992513010067265,0.22149223510017113,1.0628916604691405,"0,240,195,229,16"
22,64,0,False,2.992513010067265,0.22149223510017113,1.0321453740019528,"0,240,195,229,16"
23,58,0,False,2.992513010067265,0.22149223510017113,1.0227172046256738,"0,240,195,229,16"
24,66,0,False,2.992513010067265,0.22149223510017113,1.0291915548620492,"0,240,195,229,16"
25,57,0,False,2.992513010067265,0.22149223510017113,1.0040123063516107,"0,240,195,229,16"
26,63,0,False,2.992513010067265,0.22149223510017113,0.9888013483398843,"0,240,195,229,16"
27,58,0,False,2.992513010067265,0.22149223510017113,0.9673960960127491,"0,240,195,229,16"
28,53,0,False,2.992513010067265,0.22149223510017113,0.961638172665149,"0,240,195,229,16"
29,51,0,False,2.992513010067265,0.22149223510017113,0.9528265117637928,"0,240,195,229,16"
