position,subprotocol,length,nearest_token_ids,displacement_q05,displacement_median,displacement_q95,separation_margin,mean_separation,linear_auc,balanced_accuracy,fpr_at_95_tpr,compact_radius_q95,pairwise_mean,pairwise_q05,sample_blank_margin,cluster_blank_margin,density_blank_margin,source_escape_q05,center_norm_pre_normalization,shift_certified,separator_certified,compact_certified,sample_blank_certified,cluster_blank_certified,density_blank_certified,blank_region_certified
prefix,blank,1,252,0.24682996128893106,0.33095426279250384,0.4339779099493934,0.17899528658157204,0.30266878727030133,1.0,1.0,0.0,0.5474907831660547,0.7723481352515281,0.7182214338794769,0.025540366953491933,-0.7684671423649512,-0.641367396087329,-0.10924657886277059,0.8793093274110001,True,True,False,True,False,False,False
prefix,blank,2,"29571,17463",0.32311570277855595,0.4252812961116803,0.5180205583349381,0.24513795647377828,0.3665620570921747,1.0,1.0,0.0,0.49154968017445105,0.8197781687181196,0.7724922713034744,0.10117244757483274,-0.6559018586559233,-0.5638361306931614,-0.09650121099159562,0.9056596378620794,True,True,False,True,False,False,False
prefix,blank,4,"21652,258,14970,8325",0.3434426081829386,0.44445477648078235,0.5475189295046653,0.2347351070679111,0.3780467535947996,1.0,1.0,0.0,0.5027945794557922,0.8230502482159747,0.7717630294342683,0.08519959900824847,-0.6656330313134127,-0.5743675996526312,-0.08198963748929783,0.9076282032018179,True,True,False,True,False,False,False
prefix,blank,8,"8443,28257,5157,15300,1594,31513,3678,25562",0.5165571167129311,0.621391773087079,0.6955425936208187,0.3976346088188886,0.5170918021981223,1.0,1.0,0.0,0.36259737460306163,0.9156003191291,0.8847076167532018,0.28167752332094775,-0.3883666782166376,-0.3528283641786508,-0.02685523460177855,0.9570487111517034,True,True,True,True,False,False,False
prefix,blank,16,"30216,1839,31958,27541,14141,29806,24253,30252,23349,25790,22186,2163,19512,31982,10580,13782",0.6230079774877129,0.7022341169030046,0.7608569289415129,0.45321607460273716,0.541454638113752,1.0,1.0,0.0,0.23387135994699274,0.967978402254489,0.9499240902043705,0.43697822233577566,-0.2641262936632689,-0.21706589591136838,-0.03533832071023821,0.9839502433457025,True,True,True,True,False,False,False
